City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
104,cartagena,10.3997,-75.5144,301.54,78,overcast clouds,2.84,CO,1668978120
105,kanepi,57.982,26.7627,266.51,93,broken clouds,3.33,EE,1668978374
106,mar del plata,-38.0023,-57.5575,289.16,96,light rain,4.63,AR,1668978374
107,barrow,71.2906,-156.7887,268.16,74,overcast clouds,6.69,US,1668978375
108,chokurdakh,70.6333,147.9167,237.38,100,overcast clouds,2.21,RU,1668978376
109,san patricio,28.017,-97.5169,285.3,61,overcast clouds,4.39,US,1668978376
110,honningsvag,70.9821,25.9704,276.01,87,broken clouds,4.63,NO,1668978194
111,esperance,-33.8667,121.9,286.02,60,broken clouds,3.37,AU,1668978331
112,lavrentiya,65.5833,-171.0,265.39,90,overcast clouds,6.23,RU,1668978378
113,mezen,65.8522,44.24,274.0,97,overcast clouds,3.19,RU,1668978379
114,arraial do cabo,-22.9661,-42.0278,297.07,83,clear sky,6.69,BR,1668978380
115,hasaki,35.7333,140.8333,285.53,72,overcast clouds,4.89,JP,1668978183
116,sitka,57.0531,-135.33,282.09,76,overcast clouds,3.09,US,1668978381
117,vrutky,49.1133,18.9171,273.81,93,overcast clouds,25.03,SK,1668978382
118,hamilton,39.1834,-84.5333,275.5,28,clear sky,3.6,US,1668978342
119,pandan,14.0453,124.1694,299.37,89,overcast clouds,4.56,PH,1668978384
120,bilibino,68.0546,166.4372,245.41,100,overcast clouds,1.3,RU,1668978385
121,katsuura,35.1333,140.3,288.85,88,moderate rain,2.48,JP,1668978178
122,chuy,-33.6971,-53.4616,295.58,77,overcast clouds,5.57,UY,1668978386
123,utraula,27.3167,82.4167,290.16,71,clear sky,2.48,IN,1668978387
124,conceicao do araguaia,-8.2578,-49.2647,297.82,86,scattered clouds,2.33,BR,1668978118
125,codrington,-38.2667,141.9667,281.42,82,light rain,11.14,AU,1668978388
126,airai,-8.9266,125.4092,289.64,91,light rain,1.27,TL,1668978390
127,nanortalik,60.1432,-45.2371,270.57,85,overcast clouds,5.65,GL,1668978390
128,fairbanks,64.8378,-147.7164,270.33,84,few clouds,0.0,US,1668978391
129,geneva,41.8875,-88.3054,275.0,47,clear sky,5.66,US,1668978392
130,ancud,-41.8697,-73.8203,286.78,52,clear sky,1.51,CL,1668978392
131,la palma,33.8464,-118.0467,300.3,13,few clouds,3.09,US,1668978393
132,finschhafen,-6.6024,147.8681,300.28,78,overcast clouds,2.05,PG,1668978394
133,torbay,47.6666,-52.7314,278.01,91,light rain,7.72,CA,1668978394
134,butaritari,3.0707,172.7902,299.94,81,light rain,5.62,KI,1668978395
135,ngunguru,-35.6167,174.5,291.13,74,light rain,5.18,NZ,1668978396
136,portland,45.5234,-122.6762,284.23,46,scattered clouds,2.68,US,1668977954
137,nichinan,31.6,131.3667,289.29,86,clear sky,1.85,JP,1668978397
138,hermanus,-34.4187,19.2345,285.26,78,clear sky,3.27,ZA,1668978397
139,bonthe,7.5264,-12.505,299.6,74,overcast clouds,3.0,SL,1668978398
140,newport,51.5877,-2.9984,281.45,82,broken clouds,1.85,GB,1668978366
141,vila velha,-20.3297,-40.2925,298.12,90,broken clouds,3.6,BR,1668978399
142,panguna,-6.3164,155.4848,296.57,78,broken clouds,1.51,PG,1668978400
143,castro,-24.7911,-50.0119,294.39,69,broken clouds,3.54,BR,1668978108
144,tomatlan,19.9333,-105.25,304.56,45,overcast clouds,2.11,MX,1668978400
145,constitucion,-35.3333,-72.4167,290.95,53,clear sky,8.16,CL,1668978401
146,goderich,43.7501,-81.7165,271.99,72,overcast clouds,10.58,CA,1668978402
147,mount gambier,-37.8333,140.7667,280.63,82,light rain,8.32,AU,1668978402
148,issoire,45.55,3.25,280.74,86,overcast clouds,0.8,FR,1668978403
149,champerico,14.3,-91.9167,302.19,72,broken clouds,2.46,GT,1668978404
150,skoghall,59.3232,13.4655,272.46,83,light snow,8.23,SE,1668978405
151,ponta do sol,32.6667,-17.1,291.88,71,scattered clouds,2.45,PT,1668978405
152,coquimbo,-29.9533,-71.3436,291.0,72,scattered clouds,4.63,CL,1668978406
153,koslan,63.4564,48.8989,269.76,96,overcast clouds,3.14,RU,1668978407
154,guerrero negro,27.9769,-114.0611,295.26,30,clear sky,3.38,MX,1668978121
155,sharjah,25.3573,55.4033,301.14,61,clear sky,2.57,AE,1668978408
156,victoria,22.2855,114.1577,297.25,82,scattered clouds,2.24,HK,1668978408
157,otane,-39.8833,176.6333,291.49,61,scattered clouds,1.0,NZ,1668978409
158,longyearbyen,78.2186,15.6401,276.06,81,light rain,8.75,SJ,1668978410
159,cherskiy,68.75,161.3,247.02,98,overcast clouds,3.5,RU,1668978410
160,ilulissat,69.2167,-51.1,269.16,68,overcast clouds,0.51,GL,1668978411
161,zhigansk,66.7697,123.3711,241.93,100,overcast clouds,2.4,RU,1668978412
162,cayenne,4.9333,-52.3333,300.17,78,clear sky,1.54,GF,1668978412
163,lovozero,68.005,35.0117,263.59,85,clear sky,0.89,RU,1668978413
164,qaanaaq,77.484,-69.3632,250.78,70,clear sky,2.02,GL,1668978414
165,planaltina,-15.4528,-47.6142,294.05,80,overcast clouds,1.36,BR,1668978291
166,cabra,37.4725,-4.4421,284.17,77,clear sky,1.12,ES,1668978415
167,norman wells,65.282,-126.8329,267.75,90,overcast clouds,3.72,CA,1668978415
168,najran,17.4924,44.1277,289.18,55,few clouds,1.22,SA,1668978416
169,bonavista,48.6499,-53.1147,275.92,82,light rain,11.85,CA,1668978417
170,clyde river,70.4692,-68.5914,246.5,81,clear sky,1.69,CA,1668978417
171,richards bay,-28.783,32.0377,290.63,73,clear sky,0.47,ZA,1668978418
172,narsaq,60.9167,-46.05,269.27,84,overcast clouds,1.11,GL,1668978195
173,erzin,36.9559,36.2,290.37,60,overcast clouds,1.68,TR,1668978419
174,carnarvon,-24.8667,113.6333,293.74,44,clear sky,6.78,AU,1668978419
175,paamiut,61.994,-49.6678,270.08,87,overcast clouds,6.17,GL,1668978420
176,lebu,-37.6167,-73.65,287.56,63,clear sky,10.9,CL,1668978421
177,caravelas,-17.7125,-39.2481,295.4,96,light rain,1.6,BR,1668978422
178,marsa matruh,31.3525,27.2453,293.79,73,overcast clouds,3.36,EG,1668978423
179,dali,25.7,100.1833,280.28,70,clear sky,1.91,CN,1668978424
180,north bend,43.4065,-124.2243,287.68,72,clear sky,2.06,US,1668978425
181,sangar,63.9242,127.4739,239.11,100,broken clouds,0.35,RU,1668978426
182,taltal,-25.4,-70.4833,291.81,71,few clouds,2.52,CL,1668978427
183,plettenberg bay,-34.0527,23.3716,287.71,76,clear sky,1.12,ZA,1668978427
184,pasighat,28.0667,95.3333,287.58,39,clear sky,1.77,IN,1668978428
